date,state,dataQualityGrade,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedIncrease,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
23-11-20,AK,A,103,0,146,5,27085,498,7165,933016,6655
23-11-20,AL,A,3155,2,1427,493,234080,1574,90702,1533628,8242
23-11-20,AR,A+,2191,30,974,51,146190,1017,127059,1605173,10226
23-11-20,AS,D,,0,,0,0,0,,1988,0
23-11-20,AZ,A+,5992,0,2008,49,302324,2659,48807,2124873,20521
23-11-20,CA,B,,50,6254,0,1110370,8337,,22457544,220235
23-11-20,CO,A,,101,1711,42,202289,3689,11201,2901740,46130
23-11-20,CT,C,3915,43,875,0,106740,5271,9800,3038489,109429
23-11-20,DC,A+,,2,135,0,20290,139,14935,639461,8929
23-11-20,DE,A+,661,4,178,0,32211,403,16073,687482,7533
23-11-20,FL,A,18310,96,3754,100,930728,6114,,11740720,79792
23-11-20,GA,A+,8644,17,2257,26,406220,1809,,4139509,26729
23-11-20,GU,B,,0,48,0,6602,53,4846,80999,1114
23-11-20,HI,B,,0,72,0,17596,113,11958,636113,5756
23-11-20,IA,A+,,14,1333,0,189856,2351,116837,1040373,6573
23-11-20,ID,A,783,2,442,25,91653,819,38025,453872,2627
23-11-20,IL,A,11552,61,6171,0,664620,8322,,9892981,91562
23-11-20,IN,A+,5067,27,3219,317,300913,5556,169211,3939645,42100
23-11-20,KS,A+,,46,896,95,142059,7526,3189,784288,20395
23-11-20,KY,B,1747,5,1573,119,160232,2132,26611,2441630,33759
23-11-20,LA,A,6039,24,1012,0,221160,968,185960,3262192,10246
23-11-20,MA,A+,10299,19,922,0,208623,1773,145682,7920042,52280
23-11-20,MD,A,4293,14,1276,133,183797,1658,8511,4171674,30947
23-11-20,ME,A+,176,1,103,5,10544,185,7986,825349,29557
23-11-20,MI,A+,8543,65,4047,0,340964,11943,152267,6263536,99283
23-11-20,MN,A,3205,24,1778,177,276500,6343,227311,3756777,56434
23-11-20,MO,A+,,2,2805,0,274897,3370,,2942201,18772
23-11-20,MP,D,2,0,,0,104,0,29,16851,280
23-11-20,MS,A+,3233,0,1014,203,143879,699,121637,1091151,40980
23-11-20,MT,B,,11,467,27,56381,701,39450,617974,4965
23-11-20,NC,A+,4910,5,1601,0,339194,2419,293555,4983768,36154
23-11-20,ND,B,674,7,377,22,73397,714,62697,1033394,6472
23-11-20,NE,A,,4,976,19,114061,1032,58057,1262563,6796
23-11-20,NH,B,,0,121,1,18042,444,13226,770791,5872
23-11-20,NJ,A,14960,11,2693,123,309588,3581,41550,5675266,54117
23-11-20,NM,A,,17,846,124,84148,2252,29183,1464452,9455
23-11-20,NV,A,,6,1274,0,136227,2339,,1536076,15531
23-11-20,NY,B,,33,2724,0,602120,5906,83307,18187840,191489
23-11-20,OH,A+,5635,24,4358,282,363304,11885,230678,5683989,11885
23-11-20,OK,A+,,15,1505,35,177874,3544,142381,1967519,3544
23-11-20,OR,A+,,6,458,150,66333,1163,5870,1016282,6668
23-11-20,PA,A+,,28,3459,0,314401,4762,198072,3019571,18947
23-11-20,PR,B,812,15,607,0,48200,741,39214,354172,741
23-11-20,RI,A+,,6,285,0,50573,429,3436,1468082,7679
23-11-20,SC,A+,3987,5,844,33,207552,1257,108469,2267605,21037
23-11-20,SD,A+,,0,582,13,73848,783,55679,313297,2079
23-11-20,TN,A+,3957,35,2317,58,344550,4074,296592,4334644,28957
23-11-20,TX,A,,32,8353,0,1100979,6704,917739,10123856,132436
23-11-20,UT,A+,,4,558,70,179420,2244,117104,1735824,10113
23-11-20,VA,A+,3629,4,1512,163,221038,3242,23253,3161059,42165
23-11-20,VI,D,23,0,,0,1504,0,1407,27479,0
23-11-20,VT,B,63,0,19,0,3714,85,2300,523227,6566
23-11-20,WA,B,2619,0,784,0,141260,0,,2894367,0
23-11-20,WI,A+,3011,8,1999,107,379693,3455,280358,4196070,33414
23-11-20,WV,B,635,5,463,0,41114,636,26769,1038846,11877
23-11-20,WY,B,,26,224,31,29431,1262,17452,161219,1262
22-11-20,AK,A,103,1,133,0,26587,543,7165,926361,7616
22-11-20,AL,A,3153,0,1332,0,232506,1798,90702,1525386,7200
22-11-20,AR,A+,2161,20,962,57,145173,1352,125153,1594947,14006
22-11-20,AS,D,,0,,0,0,0,,1988,0
22-11-20,AZ,A+,5992,7,1932,231,299665,4331,48380,2104352,20709
22-11-20,CA,B,,33,5918,0,1102033,14319,,22237309,265477
22-11-20,CO,A,,0,1670,60,198600,3921,11014,2855610,47972
22-11-20,CT,C,3878,0,848,0,101469,0,9800,2929060,0
22-11-20,DC,A+,,0,136,0,20151,190,14882,630532,11748
22-11-20,DE,A+,657,2,177,0,31808,487,15890,679949,9593
22-11-20,FL,A,18214,62,3613,138,924614,6374,,11660928,90769
22-11-20,GA,A+,8627,19,2193,34,404411,1976,,4112780,26638
22-11-20,GU,A,,2,50,0,6549,73,4430,79885,73
22-11-20,HI,B,,2,72,0,17483,122,11958,630357,5342
22-11-20,IA,A+,,32,1340,0,187505,2537,116308,1033800,6727
22-11-20,ID,A,783,2,442,93,90834,1070,37504,451245,3244
22-11-20,IL,A,11506,99,6072,0,656298,10012,,9801419,92437
22-11-20,IN,A+,5040,59,3144,335,295357,6174,164992,3897545,51165
22-11-20,KS,A+,,0,1048,0,134533,0,3144,763893,0
22-11-20,KY,B,1742,4,1514,0,158100,2192,26156,2407871,0
22-11-20,LA,A,6015,27,967,0,220192,3483,185960,3251946,42569
22-11-20,MA,A+,10281,24,893,0,206850,2695,145682,7867762,110280
22-11-20,MD,A,4279,19,1237,202,182139,2168,8506,4140727,49895
22-11-20,ME,A+,175,2,94,6,10359,236,7791,795792,236
22-11-20,MI,A+,8478,0,3887,0,329021,0,152267,6164253,0
22-11-20,MN,A,3181,40,1784,184,270157,7205,219720,3700343,60166
22-11-20,MO,A+,,4,2817,0,271527,4215,,2923429,24361
22-11-20,MP,D,2,0,,0,104,1,29,16571,1
22-11-20,MS,A+,3233,19,999,0,143180,779,116683,1050171,779
22-11-20,MT,B,,3,477,14,55680,1138,39051,613009,4507
22-11-20,NC,A+,4907,29,1571,0,336775,4514,276132,4947614,69538
22-11-20,ND,B,667,0,379,35,72683,1143,61599,1026922,9893
22-11-20,NE,A,,8,963,29,113029,1368,16068,1255767,12514
22-11-20,NH,B,,4,117,1,17598,317,12887,764919,9416
22-11-20,NJ,A,14949,15,2568,106,306007,3968,41303,5621149,53807
22-11-20,NM,A,,33,845,33,81896,2456,28857,1454997,10876
22-11-20,NV,A,,6,1273,0,133888,2155,,1520545,13481
22-11-20,NY,B,,31,2562,0,596214,5392,83307,17996351,196610
22-11-20,OH,A+,5612,12,4181,205,351419,8133,227276,5672104,62509
22-11-20,OK,A+,,10,1505,149,174330,3406,140312,1963975,3406
22-11-20,OR,A+,,1,458,0,65170,1502,5870,1009614,8367
22-11-20,PA,A+,,41,3379,0,309639,7075,193640,3000624,29384
22-11-20,PR,B,798,5,606,0,47459,1025,39142,353431,1025
22-11-20,RI,A+,,3,285,31,50144,738,3436,1460403,18053
22-11-20,SC,A+,3982,9,809,35,206295,1277,107683,2246568,21316
22-11-20,SD,A+,,42,577,42,73065,851,55349,311218,2048
22-11-20,TN,A+,3929,55,2266,31,340476,4589,294231,4305687,36627
22-11-20,TX,A,,89,8174,0,1094275,8751,913796,9991420,83291
22-11-20,UT,A+,,6,579,74,177176,3197,115904,1725711,19107
22-11-20,VA,A+,3628,0,1469,42,217796,2117,23133,3118894,47759
22-11-20,VI,D,23,0,,0,1504,13,1407,27479,212
22-11-20,VT,B,63,0,22,0,3629,83,2279,516661,10118
22-11-20,WA,B,2619,0,784,48,141260,1717,,2894367,16473
22-11-20,WI,A+,3005,7,1988,89,376238,4019,276574,4162656,40477
22-11-20,WV,B,630,4,433,0,40478,880,26476,1026969,13926
22-11-20,WY,B,,0,235,0,28169,759,16807,159957,759
21-11-20,AK,A,102,1,129,6,26044,675,7165,918745,14033
21-11-20,AL,A,3153,6,1300,0,230708,2335,90702,1518186,9974
21-11-20,AR,A+,2141,16,922,62,143821,1905,123722,1580941,15068
21-11-20,AS,D,,0,,0,0,0,,1988,0
21-11-20,AZ,A+,5985,30,1916,129,295334,3638,47890,2083643,19754
21-11-20,CA,B,,86,5745,0,1087714,15442,,21971832,241281
21-11-20,CO,A,,0,1703,258,194679,6113,10831,2807638,54920
21-11-20,CT,C,3878,0,848,0,101469,0,9800,2929060,0
21-11-20,DC,A+,,1,122,0,19961,153,14821,618784,6580
21-11-20,DE,A+,655,0,172,0,31321,505,15735,670356,10902
21-11-20,FL,A,18152,42,3396,180,918240,8175,,11570159,113698
21-11-20,GA,A+,8624,37,2136,126,402435,3025,,4086142,43016
21-11-20,GU,A,,1,54,0,6476,24,4430,79812,24
21-11-20,HI,B,,7,72,6,17361,162,11958,625015,6837
21-11-20,IA,A+,,27,1416,0,184968,3178,115736,1027073,7599
21-11-20,ID,A,780,10,404,89,89764,1786,37232,448001,3775
21-11-20,IL,A,11430,157,6175,0,646286,11891,,9708982,120284
21-11-20,IN,A+,4992,40,3168,362,289183,6872,163741,3846380,60958
21-11-20,KS,A+,,0,1048,0,134533,0,3144,763893,0
21-11-20,KY,B,1738,21,1514,125,155908,3702,26156,2407871,52396
21-11-20,LA,A,5985,0,972,0,216709,0,185960,3209377,0
21-11-20,MA,A+,10257,19,891,0,204155,3206,145682,7757482,109239
21-11-20,MD,A,4261,17,1229,152,179971,2885,8498,4090832,51510
21-11-20,ME,A+,173,1,86,8,10123,165,7713,795556,165
21-11-20,MI,A+,8478,101,3887,0,329021,7840,152267,6164253,87567
21-11-20,MN,A,3141,51,1784,283,262952,6252,211513,3640177,51620
21-11-20,MO,A+,,18,2851,0,267312,4876,,2899068,9082
21-11-20,MP,D,2,0,,0,103,0,29,16570,0
21-11-20,MS,A+,3224,15,999,0,142401,1972,116683,1049392,1972
21-11-20,MT,B,,33,474,84,54542,1249,38701,608502,6827
21-11-20,NC,A+,4880,26,1590,0,332261,3415,276132,4878076,59047
21-11-20,ND,B,667,0,376,34,71540,1524,60640,1017029,11760
21-11-20,NE,A,,43,987,56,111661,2381,56605,1243253,21988
21-11-20,NH,B,,1,116,2,17281,484,12599,755503,8447
21-11-20,NJ,A,14934,34,2552,168,302039,4669,41006,5567342,49642
21-11-20,NM,A,,25,825,61,79440,2342,28574,1444121,10512
21-11-20,NV,A,,29,1273,0,131733,2019,,1507064,28901
21-11-20,NY,B,,34,2443,0,590822,5972,83031,17799741,207907
21-11-20,OH,A+,5602,29,3987,260,343286,7863,224068,5609595,65406
21-11-20,OK,A+,,21,1505,164,170924,3663,137887,1960569,53383
21-11-20,OR,A+,,7,458,0,63668,1493,5870,1001247,7494
21-11-20,PA,A+,,112,3294,0,302564,6778,193640,2971240,26584
21-11-20,PR,B,793,21,621,0,46434,1099,38237,352406,1099
21-11-20,RI,A+,,6,293,100,49406,1405,3402,1442350,26322
21-11-20,SC,A+,3974,43,816,40,205018,1857,106828,2225252,32504
21-11-20,SD,A+,,36,580,59,72214,1144,54570,309170,2301
21-11-20,TN,A+,3880,9,2289,37,335887,4355,291819,4269060,28512
21-11-20,TX,A,,171,8245,0,1085524,12826,909137,9908129,120893
21-11-20,UT,A+,,14,571,108,173979,3395,114058,1706604,17815
21-11-20,VA,A+,3628,26,1507,104,215679,2348,23053,3071135,35503
21-11-20,VI,D,23,0,,0,1491,9,1402,27267,176
21-11-20,VT,B,63,1,18,0,3546,87,2246,506543,8637
21-11-20,WA,B,2619,16,762,64,139543,2132,,2877894,21420
21-11-20,WI,A+,3005,52,2076,208,372219,7029,272180,4122179,39436
21-11-20,WV,B,626,19,416,0,39598,1118,26165,1013043,18671
21-11-20,WY,B,,0,219,6,27410,281,16530,159198,281
20-11-20,AK,A,101,0,127,13,25369,460,7165,904712,5913
20-11-20,AL,A,3148,32,1329,154,228373,2463,90702,1508212,11495
20-11-20,AR,A+,2125,24,928,85,141916,2061,122219,1565873,13423
20-11-20,AS,D,,0,,0,0,0,,1988,0
20-11-20,AZ,A+,5961,43,1835,181,291696,4471,47383,2063889,26601
20-11-20,CA,B,,91,5497,0,1072272,13005,,21730551,178023
20-11-20,CO,A,,5,1723,186,188566,5765,10618,2752718,57018
20-11-20,CT,C,3878,23,848,0,101469,2088,9800,2929060,31780
20-11-20,DC,A+,,2,126,0,19808,130,14699,612204,4370
20-11-20,DE,A+,655,4,170,0,30816,663,15534,659454,16112
20-11-20,FL,A,18110,80,3439,230,910065,8831,,11456461,107865
20-11-20,GA,A+,8591,40,2139,119,399410,2769,,4043126,32450
20-11-20,GU,A,,2,56,0,6452,36,4430,79788,400
20-11-20,HI,B,,1,77,9,17199,118,11958,618178,5563
20-11-20,IA,A+,,27,1447,0,181790,3477,114338,1019474,7998
20-11-20,ID,A,769,23,389,91,87978,1543,36831,444226,3871
20-11-20,IL,A,11304,147,6111,0,634395,13012,,9588698,116024
20-11-20,IN,A+,4952,63,3077,352,282311,6808,162324,3785422,60088
20-11-20,KS,A+,,84,1048,121,134533,5939,3144,763893,15632
20-11-20,KY,B,1720,20,1544,123,152206,3816,25728,2355475,26080
20-11-20,LA,A,5985,34,972,0,216709,4743,185960,3209377,97750
20-11-20,MA,A+,10238,34,904,0,200949,2399,145682,7648243,71269
20-11-20,MD,A,4245,26,1207,148,177086,2353,8474,4039322,41252
20-11-20,ME,A+,172,2,90,15,9958,224,7590,795391,7042
20-11-20,MI,A+,8377,57,3887,0,321181,10140,138862,6076686,83759
20-11-20,MN,A,3093,68,1784,291,256700,6794,202432,3588557,53812
20-11-20,MO,A+,,30,2734,0,262436,4614,,2889986,24813
20-11-20,MP,D,2,0,,0,103,0,29,16570,0
20-11-20,MS,A+,3215,23,965,0,140429,1638,116683,1047420,1638
20-11-20,MT,B,,6,506,31,53293,1475,30557,601675,5846
20-11-20,NC,A+,4854,43,1571,0,328846,3688,276132,4819029,32766
20-11-20,ND,B,667,17,395,52,70016,1404,59283,1005269,9399
20-11-20,NE,A,,28,983,133,109280,2663,55885,1221265,18151
20-11-20,NH,B,,1,108,1,16797,520,12201,747056,8994
20-11-20,NJ,A,14900,23,2505,177,297370,3626,40705,5517700,47370
20-11-20,NM,A,,23,808,46,77098,2982,28130,1433609,12812
20-11-20,NV,A,,29,1283,0,129714,1839,,1478163,6399
20-11-20,NY,B,,35,2348,0,584850,5468,82766,17591834,205466
20-11-20,OH,A+,5578,65,3936,398,335423,8808,220281,5544189,68454
20-11-20,OK,A+,,15,1428,184,167261,2921,134934,1907186,16625
20-11-20,OR,A+,,4,458,35,62175,1302,5870,993753,8461
20-11-20,PA,A+,,108,3162,0,295786,6808,192260,2944656,26151
20-11-20,PR,B,775,9,614,0,45335,904,38238,351307,904
20-11-20,RI,A+,,6,288,33,48001,1050,3314,1416028,14865
20-11-20,SC,A+,3949,30,808,53,203161,2001,105856,2192748,30621
20-11-20,SD,A+,,36,574,71,71070,1328,51922,306869,3600
20-11-20,TN,A+,3872,74,2260,80,331532,3444,287908,4240548,21916
20-11-20,TX,A,,183,8164,0,1072698,11815,901943,9787236,130739
20-11-20,UT,A+,,17,554,135,170584,4588,112356,1688789,21529
20-11-20,VA,A+,3605,16,1510,29,213331,2544,22946,3035632,28171
20-11-20,VI,D,23,0,,0,1482,13,1393,27091,151
20-11-20,VT,B,62,1,22,0,3459,149,2205,497906,5041
20-11-20,WA,B,2603,11,715,31,137411,1987,,2856474,21002
20-11-20,WI,A+,2954,81,2076,190,365190,7077,266280,4082743,50551
20-11-20,WV,B,609,16,402,0,38480,1081,25664,994372,16833
20-11-20,WY,B,,0,219,24,27129,960,16316,158917,2618
19-11-20,AK,A,101,1,139,9,24909,490,7165,898799,13241
19-11-20,AL,A,3123,72,1315,207,225910,2424,90702,1496717,15049
19-11-20,AR,A+,2105,22,891,129,139855,2238,120545,1552450,14667
19-11-20,AS,D,,0,,0,0,0,,1988,0
19-11-20,AZ,A+,5919,19,1796,398,287225,4123,46951,2037288,18293
19-11-20,CA,B,,106,5319,0,1059267,11478,,21552528,133985
19-11-20,CO,A,,26,1593,178,182801,6107,10392,2695700,55085
19-11-20,CT,C,3862,21,840,0,99381,2353,9800,2897280,36596
19-11-20,DC,A+,,2,127,0,19678,213,14589,607834,6422
19-11-20,DE,A+,652,0,165,0,30153,398,15435,643342,1216
19-11-20,FL,A,18030,81,3380,236,901234,8882,,11348596,110691
19-11-20,GA,A+,8569,37,2142,111,396641,2751,,4010676,35607
19-11-20,GU,A,,1,57,0,6416,70,4423,79388,328
19-11-20,HI,B,,0,77,9,17081,107,11958,612615,5253
19-11-20,IA,A+,,40,1516,0,178313,3474,112778,1011476,7490
19-11-20,ID,A,746,14,389,58,86435,1310,36339,440355,4322
19-11-20,IL,A,11178,180,6037,0,621383,14612,,9472674,113447
19-11-20,IN,A+,4889,59,3063,423,275503,7281,159413,3725334,57285
19-11-20,KS,A+,,0,1039,0,128594,0,3067,748261,0
19-11-20,KY,B,1701,30,1550,111,148390,3637,25437,2329395,35701
19-11-20,LA,A,5951,15,929,0,211966,2052,185960,3111627,25778
19-11-20,MA,A+,10204,28,917,229,198550,2682,145682,7576974,92139
19-11-20,MD,A,4220,21,1192,175,174733,2910,8441,3998070,43963
19-11-20,ME,A+,170,1,88,13,9734,215,7403,788349,12980
19-11-20,MI,A+,8324,144,3824,0,311041,7983,138862,5992927,70236
19-11-20,MN,A,3029,72,1751,279,249906,7863,198365,3534745,55821
19-11-20,MO,A+,,30,2588,0,257822,4349,,2865173,20181
19-11-20,MP,D,2,0,,0,103,0,29,16570,0
19-11-20,MS,A+,3195,18,926,0,138791,1395,116683,1045782,1395
19-11-20,MT,B,,0,482,19,51818,1236,30477,595829,4423
19-11-20,NC,A+,4814,38,1538,0,325158,4296,276132,4786263,55092
19-11-20,ND,B,650,14,387,31,68612,1382,57686,995870,9530
19-11-20,NE,A,,10,961,0,106617,2812,55037,1203114,21919
19-11-20,NH,B,,2,98,4,16277,528,11765,738062,8916
19-11-20,NJ,A,14877,34,2471,400,293744,4182,40415,5470330,4182
19-11-20,NM,A,,12,774,90,74116,3665,27659,1420797,10974
19-11-20,NV,A,,6,1288,0,127875,2416,,1471764,17023
19-11-20,NY,B,,32,2276,0,579382,5310,82507,17386368,195239
19-11-20,OH,A+,5522,63,3829,343,326615,7787,216619,5475735,104830
19-11-20,OK,A+,,18,1381,149,164340,2915,132268,1890561,21620
19-11-20,OR,A+,,20,497,47,60873,1204,5870,985292,8442
19-11-20,PA,A+,,116,2952,0,288978,7126,190725,2918505,27667
19-11-20,PR,B,767,11,573,0,44431,521,37327,350403,521
19-11-20,RI,A+,,4,298,60,46951,1040,3277,1401163,16598
19-11-20,SC,A+,3924,19,815,53,201160,1713,104997,2162127,23838
19-11-20,SD,A+,,31,578,58,69742,1071,51153,303269,2296
19-11-20,TN,A+,3810,80,2236,80,328088,2887,283785,4218632,17648
19-11-20,TX,A,,230,7982,0,1060883,12500,896191,9656497,134154
19-11-20,UT,A+,,16,553,108,165996,3968,110007,1667260,21968
19-11-20,VA,A+,3594,36,1569,364,210787,1954,22858,3007461,24031
19-11-20,VI,D,23,0,,0,1469,6,1388,26940,242
19-11-20,VT,B,61,1,18,0,3310,149,2157,492865,10540
19-11-20,WA,B,2592,21,651,49,135424,1303,,2835472,22391
19-11-20,WI,A+,2876,85,2104,236,358113,7448,259953,4032192,45778
19-11-20,WV,B,594,11,415,0,37399,1122,25133,977539,17155
19-11-20,WY,B,,21,209,20,26169,894,14904,156299,3337
18-11-20,AK,A,100,0,147,22,24419,545,7165,885558,6936
18-11-20,AL,A,3073,46,1303,372,223486,2638,88038,1481668,8122
18-11-20,AR,A+,2085,30,893,89,137617,1715,118751,1537783,12504
18-11-20,AS,D,,0,,0,0,0,,1988,0
18-11-20,AZ,A+,5902,53,1700,230,283102,3206,46521,2018995,14787
18-11-20,CA,B,,61,5078,0,1047789,9811,,21418543,159467
18-11-20,CO,A,,25,1593,194,176694,4650,10195,2640615,41034
18-11-20,CT,C,3849,13,816,0,97028,2042,9800,2860684,34226
18-11-20,DC,A+,,5,127,0,19465,156,14477,601412,4670
18-11-20,DE,A+,652,3,153,0,29755,203,15301,642126,8113
18-11-20,FL,A,17949,88,3352,317,892352,7727,,11237905,87065
18-11-20,GA,A+,8536,57,2091,228,393890,2424,,3975069,20647
18-11-20,GU,A,,0,58,0,6346,112,4341,79060,112
18-11-20,HI,B,,1,82,2,16974,69,11958,607362,4528
18-11-20,IA,A+,,39,1527,0,174839,3294,111305,1003986,6952
18-11-20,ID,A,733,35,376,52,85125,1781,35948,436033,2811
18-11-20,IL,A,11014,151,5953,0,606771,8922,,9359227,103569
18-11-20,IN,A+,4830,59,3040,348,268222,6015,156423,3668049,55973
18-11-20,KS,A+,,60,1039,130,128594,5853,3067,748261,14505
18-11-20,KY,B,1674,15,1553,104,144753,2745,25058,2293694,30978
18-11-20,LA,A,5939,28,886,0,209914,2229,185960,3085849,17519
18-11-20,MA,A+,10177,47,885,0,195868,2904,137422,7484835,97636
18-11-20,MD,A,4201,16,1144,147,171823,2018,8421,3954107,31801
18-11-20,ME,A+,169,4,85,11,9519,156,7229,775369,10451
18-11-20,MI,A+,8190,62,3792,0,303058,6218,138862,5922691,56904
18-11-20,MN,A,2961,67,1706,298,242043,5094,193869,3478924,33677
18-11-20,MO,A+,,24,2453,0,253473,4587,,2844992,19151
18-11-20,MP,D,2,0,,0,103,0,29,16570,0
18-11-20,MS,A+,3180,20,948,0,137396,1593,116683,1044387,1593
18-11-20,MT,B,,18,463,41,50582,1184,30400,591406,7578
18-11-20,NC,A+,4780,46,1537,0,320862,3367,276132,4731171,33610
18-11-20,ND,B,636,21,384,46,67230,1263,56468,986340,9534
18-11-20,NE,A,,19,978,75,103805,2204,54604,1181195,14952
18-11-20,NH,B,,2,91,5,15749,446,11478,729146,6099
18-11-20,NJ,A,14843,37,2446,53,289562,4043,40090,5466148,91457
18-11-20,NM,A,,26,776,89,70451,2892,26835,1409823,11484
18-11-20,NV,A+,,3,1246,0,125459,1665,,1454741,6918
18-11-20,NY,B,,36,2202,0,574072,5294,82022,17191129,154434
18-11-20,OH,A+,5462,55,3716,371,318828,6385,212713,5370905,6385
18-11-20,OK,A+,,26,1434,206,161425,3017,130032,1868941,17922
18-11-20,OR,A+,,10,484,83,59669,1099,5870,976850,7028
18-11-20,PA,A+,,110,2904,0,281852,6339,186022,2890838,26858
18-11-20,PR,B,756,20,557,0,43910,325,36675,349882,325
18-11-20,RI,A+,,6,284,59,45911,1383,3233,1384565,18973
18-11-20,SC,A+,3906,26,830,54,199447,1547,103996,2138289,15966
18-11-20,SD,A+,,30,593,95,68671,1387,48757,300973,2614
18-11-20,TN,A+,3749,53,2209,87,325201,4472,279931,4200984,24833
18-11-20,TX,A,,187,7958,0,1048383,8870,889099,9522343,81274
18-11-20,UT,A+,,8,564,119,162028,3071,108182,1645292,16195
18-11-20,VA,A+,3569,25,1469,205,208833,2071,22594,2983430,20273
18-11-20,VI,D,23,0,,0,1463,13,1388,26698,265
18-11-20,VT,B,60,1,18,0,3161,57,2135,482325,2620
18-11-20,WA,B,2571,23,631,55,134121,2589,,2813081,17345
18-11-20,WI,A+,2793,58,2217,283,350665,8510,254365,3986414,40138
18-11-20,WV,B,585,14,429,0,36277,953,24493,960384,12940
18-11-20,WY,B,,0,210,20,25275,822,13752,152962,822
17-11-20,AK,A,100,2,136,3,23874,634,7165,878622,6275
17-11-20,AL,A,3040,52,1289,0,220848,1616,88038,1473546,6943
17-11-20,AR,A+,2057,20,902,101,135902,1554,117068,1525279,8413
17-11-20,AS,D,,0,,0,0,0,,1988,220
17-11-20,AZ,A+,5855,10,1624,121,279896,2984,46103,2004208,16427
17-11-20,CA,B,,36,4885,0,1037978,8743,,21259076,190182
17-11-20,CO,,,23,1543,405,172044,4331,10004,2599581,39485
17-11-20,CT,C,3839,12,777,0,94986,1702,9800,2826458,33306
17-11-20,DC,A+,,0,112,0,19309,245,14336,596742,6390
17-11-20,DE,A+,649,3,153,0,29552,352,15161,634013,5075
17-11-20,FL,A,17861,86,3369,317,884625,7285,,11150840,77345
17-11-20,GA,A+,8496,41,2102,174,391466,3536,,3954422,53714
17-11-20,GU,A,,2,69,0,6234,59,4338,78948,815
17-11-20,HI,B,,0,83,14,16905,52,11958,602834,2840
17-11-20,IA,A+,,36,1510,0,171545,2192,109978,997034,4183
17-11-20,ID,A,703,4,376,34,83344,1099,35530,433222,2799
17-11-20,IL,A,10875,113,5887,0,597849,12601,,9255658,94205
17-11-20,IN,A+,4770,89,2951,346,262207,5463,153381,3612076,42121
17-11-20,KS,A+,,0,551,0,122741,0,3006,733756,0
17-11-20,KY,B,1659,33,1521,74,142008,2911,24760,2262716,20880
17-11-20,LA,A,5916,17,874,0,207685,2626,176107,3068330,31094
17-11-20,MA,A+,10130,20,835,0,192964,2525,137422,7387199,65468
17-11-20,MD,A,4186,26,1046,124,169805,2149,8408,3922306,27740
17-11-20,ME,A+,165,1,73,12,9363,246,7025,764918,8746
17-11-20,MI,A+,8128,80,3752,0,296840,7886,138862,5865787,57317
17-11-20,MN,A,2898,26,1669,343,236949,5931,186680,3445247,31555
17-11-20,MO,A+,,67,2454,0,248886,5717,,2825841,24094
17-11-20,MP,D,2,0,,0,103,1,29,16570,1
17-11-20,MS,A+,3168,36,868,0,135803,905,116683,1042794,905
17-11-20,MT,B,,21,456,95,49398,1371,29105,583828,10494
17-11-20,NC,A+,4738,38,1501,0,317495,3288,276132,4697561,37732
17-11-20,ND,B,615,26,399,66,65967,1082,55176,976806,6122
17-11-20,NE,A,,18,938,76,101601,3440,54095,1166243,28997
17-11-20,NH,B,,2,77,0,15303,274,11250,723047,5158
17-11-20,NJ,A,14817,38,2320,89,285519,4026,39800,5374691,33402
17-11-20,NM,,,28,754,102,67559,2105,26338,1398339,12218
17-11-20,NV,A+,,27,1159,0,123794,1697,,1447823,12032
17-11-20,NY,B,,30,2124,0,568778,5088,82022,17036695,159852
17-11-20,OH,A+,5412,30,3648,368,312443,7079,208945,5364520,45681
17-11-20,OK,A+,,6,1381,64,158408,1551,128057,1851019,40563
17-11-20,OR,A+,,13,445,51,58570,924,5870,969822,6840
17-11-20,PA,A+,,30,2737,0,275513,5900,184593,2863980,20746
17-11-20,PR,B,740,9,568,0,43585,569,36102,349557,569
17-11-20,RI,A+,,8,265,37,44528,605,3195,1365592,9875
17-11-20,SC,A+,3884,13,800,62,197900,1283,103154,2122323,16790
17-11-20,SD,A+,,0,582,71,67284,1006,48016,298359,2212
17-11-20,TN,A+,3705,72,2138,54,320729,1841,276497,4176151,14305
17-11-20,TX,A,,117,7841,0,1039513,11624,883223,9441069,62458
17-11-20,UT,A+,,9,537,129,158957,3178,106601,1629097,13784
17-11-20,VA,A+,3557,29,1392,159,206762,2125,22466,2963157,25024
17-11-20,VI,D,23,0,,0,1450,16,1382,26433,364
17-11-20,VT,B,59,0,17,0,3104,96,2107,479705,2115
17-11-20,WA,B,2548,29,586,93,131532,1492,,2795736,17641
17-11-20,WI,A+,2741,103,2278,318,342155,7593,248700,3946276,52750
17-11-20,WV,B,571,13,400,0,35324,864,24019,947444,8533
17-11-20,WY,B,,11,204,13,24453,1260,13407,152140,-1261
16-11-20,AK,A,98,0,143,9,23240,578,7165,872347,4965
16-11-20,AL,A,3001,1,1262,441,219232,1410,88038,1466603,7197
16-11-20,AR,A+,2038,42,861,73,134348,1308,115625,1516866,11312
16-11-20,AS,D,,0,,0,0,0,,1768,0
16-11-20,AZ,A+,5846,0,1557,73,276912,1476,45737,1987781,13283
16-11-20,CA,B,,10,4559,0,1029235,9890,,21068894,202109
16-11-20,CO,A,,42,1424,79,167713,4296,9828,2560096,36344
